site,county,pm25,datacreationdate,itemunit
永和,新北市,13.0,2026-04-01 07:00,μg/m3
竹山,南投縣,20.0,2026-04-01 07:00,μg/m3
中壢,桃園市,12.0,2026-04-01 07:00,μg/m3
三重,新北市,10.0,2026-04-01 07:00,μg/m3
冬山,宜蘭縣,24.0,2026-04-01 07:00,μg/m3
宜蘭,宜蘭縣,20.0,2026-04-01 07:00,μg/m3
陽明,臺北市,5.0,2026-04-01 07:00,μg/m3
花蓮,花蓮縣,18.0,2026-04-01 07:00,μg/m3
臺東,臺東縣,19.0,2026-04-01 07:00,μg/m3
恆春,屏東縣,10.0,2026-04-01 07:00,μg/m3
潮州,屏東縣,19.0,2026-04-01 07:00,μg/m3
屏東,屏東縣,26.0,2026-04-01 07:00,μg/m3
小港,高雄市,18.0,2026-04-01 07:00,μg/m3
前鎮,高雄市,11.0,2026-04-01 07:00,μg/m3
前金,高雄市,17.0,2026-04-01 07:00,μg/m3
左營,高雄市,12.0,2026-04-01 07:00,μg/m3
楠梓,高雄市,19.0,2026-04-01 07:00,μg/m3
林園,高雄市,17.0,2026-04-01 07:00,μg/m3
大寮,高雄市,24.0,2026-04-01 07:00,μg/m3
鳳山,高雄市,19.0,2026-04-01 07:00,μg/m3
仁武,高雄市,27.0,2026-04-01 07:00,μg/m3
橋頭,高雄市,25.0,2026-04-01 07:00,μg/m3
美濃,高雄市,22.0,2026-04-01 07:00,μg/m3
臺南,臺南市,17.0,2026-04-01 07:00,μg/m3
安南,臺南市,24.0,2026-04-01 07:00,μg/m3
善化,臺南市,17.0,2026-04-01 07:00,μg/m3
新營,臺南市,22.0,2026-04-01 07:00,μg/m3
嘉義,嘉義市,20.0,2026-04-01 07:00,μg/m3
臺西,雲林縣,16.0,2026-04-01 07:00,μg/m3
朴子,嘉義縣,21.0,2026-04-01 07:00,μg/m3
新港,嘉義縣,18.0,2026-04-01 07:00,μg/m3
崙背,雲林縣,17.0,2026-04-01 07:00,μg/m3
斗六,雲林縣,18.0,2026-04-01 07:00,μg/m3
南投,南投縣,21.0,2026-04-01 07:00,μg/m3
二林,彰化縣,16.0,2026-04-01 07:00,μg/m3
線西,彰化縣,18.0,2026-04-01 07:00,μg/m3
彰化,彰化縣,21.0,2026-04-01 07:00,μg/m3
西屯,臺中市,21.0,2026-04-01 07:00,μg/m3
忠明,臺中市,18.0,2026-04-01 07:00,μg/m3
大里,臺中市,16.0,2026-04-01 07:00,μg/m3
